197,104257
193,104257
641,112384
200,112384
158,112384
129,104257
129,104257
193,104257
129,104257
158,112384
200,112384
398,109830
158,109830
705,109830
158,112384
398,109830
705,109830
596520,95953
163,95953
420,95953
596520,95953
163,95953
420,95953
596520,95953
163,95953
420,95953
398,109830
705,109830
705,109830
705,109830
1597,93779
144,93779
1697,93779
1597,93779
144,93779
1697,93779
163,95953
420,95953
420,95953
1597,93779
144,93779
1697,93779
1597,93779
144,93779
1697,93779
1597,93779
144,93779
1697,93779
144,93779
1697,93779
1697,93779
